Location,Area,Type,BHK,Sqft,Furnish,Transaction,Status,PriceperSqrt,Price
Chennai,Thalambur,Flat,2 BHK,832 sqft,Unfurnish,Old Property,Ready to Move,₹ 5409 per sqft,₹ 45 Lac
Chennai,Perungalathur Chennai Bypass Road,Flat,3 BHK,1350 sqft,Furnish,Old Property,Ready to Move,,₹ 75 Lac
Chennai,Perambur,Flat,2 BHK,875 sqft,Furnish,Old Property,Ready to Move,₹ 5714 per sqft,₹ 50 Lac
Chennai,Madhavaram Guntur Chennai Highway,Flat,2 BHK,894 sqft,Furnish,Old Property,Possession by Jan '22,,₹ 72.8 Lac
Chennai,Selaiyur,Flat,2 BHK,976 sqft,Furnish,Old Property,Ready to Move,,₹ 62 Lac
Chennai,Kolathur,Flat,2 BHK,589 sqft,Unfurnish,Old Property,Possession by May '22,,₹ 56.5 Lac
Chennai,Ambedkar Nagar Manapakkam,Flat,3 BHK,1200 sqft,Furnish,Old Property,Ready to Move,,₹ 90 Lac
Chennai,Perumbakkam,Flat,3 BHK,1476 sqft,Unfurnish,Old Property,Ready to Move,₹ 5420 per sqft,₹ 80 Lac
Chennai,Pudupakkam,Flat,3 BHK,1953 sqft,Unfurnish,Old Property,Ready to Move,₹ 5888 per sqft,₹ 1.15 Cr
Chennai,Valasaravakkam Arcot Road,Flat,2 BHK,850 sqft,Unfurnish,New Property,Ready to Move,₹ 7624 per sqft,₹ 64.8 Lac
Chennai,Madipakkam,Flat,2 BHK,750 sqft,Furnish,Old Property,Ready to Move,,₹ 45 Lac
Chennai,Thirumullaivoyal,Flat,2 BHK,480 sqft,Furnish,Old Property,Ready to Move,,₹ 39 Lac
Chennai,Tambaram West Tambaram Chennai Bypass Road,Flat,3 BHK,1226 sqft,Furnish,Old Property,Ready to Move,,₹ 55 Lac
Chennai,Egattur Uthandi,Flat,3 BHK,1695 sqft,Furnish,Old Property,Ready to Move,₹ 7965 per sqft,₹ 1.35 Cr
Chennai,Ponniammanmedu,Flat,2 BHK,894 sqft,Unfurnish,Old Property,Possession by Jan '22,,₹ 72.8 Lac
Chennai,Surapet,Flat,2 BHK,920 sqft,Unfurnish,New Property,Ready to Move,₹ 5521 per sqft,₹ 45 Lac
Chennai,Krishna Nagar Tambaram West,Flat,3 BHK,1034 sqft,Unfurnish,Old Property,Ready to Move,,₹ 55 Lac
Chennai,Virugambakkam,Flat,2 BHK,1200 sqft,Unfurnish,Old Property,Ready to Move,,₹ 80 Lac
Chennai,Ambattur,Flat,3 BHK,1600 sqft,Furnish,New Property,Ready to Move,,₹ 69.6 Lac
Chennai,Navalur,Flat,3 BHK,1350 sqft,Unfurnish,Old Property,Ready to Move,,₹ 1.15 Cr
Chennai,Velachery,Flat,3 BHK,1300 sqft,Unfurnish,New Property,Possession by Jan '23,,₹ 1.45 Cr
Chennai,Ram Garden Soumya Nagar,Flat,2 BHK,687 sqft,Unfurnish,Old Property,Ready to Move,,₹ 62 Lac
Chennai,Shanmuga Nagar Pozhichalur,Flat,3 BHK,1460 sqft,Furnish,Old Property,Ready to Move,,₹ 90 Lac
Chennai,Pallavaram,Flat,2 BHK,1024 sqft,Unfurnish,New Property,Possession by Aug '22,₹ 7080 per sqft,₹ 72.5 Lac
Chennai,Padmavathi Nagar,Flat,1 BHK,435 sqft,Unfurnish,Old Property,Ready to Move,,₹ 35 Lac
Chennai,Veerabhadra Nagar,Flat,2 BHK,1100 sqft,Unfurnish,Old Property,Ready to Move,,₹ 48.4 Lac
Chennai,Pallikaranai,Flat,2 BHK,880 sqft,Furnish,Old Property,Ready to Move,,₹ 43 Lac
Chennai,Navalur,Flat,2 BHK,785 sqft,Unfurnish,New Property,Possession by Apr '22,,₹ 47 Lac
Chennai,Oragadam Sriperumbudur,Flat,3 BHK,885 sqft,Furnish,Old Property,Ready to Move,,₹ 38 Lac
Chennai,Padur Old Mahabalipuram Road,Flat,2 BHK,750 sqft,Unfurnish,New Property,Ready to Move,,₹ 52 Lac
Chennai,Karpagam Avenue,Flat,1 BHK,550 sqft,Furnish,Old Property,Ready to Move,,₹ 42 Lac
Chennai,Perumbakkam,Flat,3 BHK,1704 sqft,Furnish,Old Property,Ready to Move,,₹ 90 Lac
Chennai,Oragadam,Flat,3 BHK,1500 sqft,Unfurnish,Old Property,Ready to Move,,₹ 69.9 Lac
Chennai,Thiruporur,Flat,2 BHK,1150 sqft,Unfurnish,Old Property,Ready to Move,₹ 2348 per sqft,₹ 27 Lac
Chennai,Mahindra World City,Flat,1 BHK,595 sqft,Furnish,Old Property,Ready to Move,,₹ 30 Lac
Chennai,Mambalam West,Flat,2 BHK,1000 sqft,Unfurnish,Old Property,Ready to Move,₹ 13500 per sqft,₹ 1.35 Cr
Chennai,VGN Mahalakshmi Nagar Maduravoyal,Flat,3 BHK,1096 sqft,Furnish,Old Property,Ready to Move,₹ 5383 per sqft,₹ 59 Lac
Chennai,Seetha Nagar Nungambakkam,Flat,2 BHK,852 sqft,Furnish,Old Property,Ready to Move,₹ 9977 per sqft,₹ 85 Lac
Chennai,Navalur,Flat,3 BHK,1567 sqft,Furnish,Old Property,Ready to Move,₹ 5105 per sqft,₹ 80 Lac
Chennai,Irungattukottai,Flat,2 BHK,824 sqft,Furnish,Old Property,Ready to Move,₹ 3641 per sqft,₹ 30 Lac
Chennai,Tambaram GST Road,Flat,2 BHK,647 sqft,Furnish,Old Property,Ready to Move,,₹ 38.7 Lac
Chennai,Ram Nagar South Extension Madipakkam,Flat,2 BHK,750 sqft,Furnish,Old Property,Ready to Move,,₹ 47 Lac
Chennai,Kalavakkam,Flat,2 BHK,800 sqft,Unfurnish,Old Property,Ready to Move,,₹ 30 Lac
Chennai,Selaiyur,Flat,2 BHK,1012 sqft,Furnish,Old Property,Ready to Move,₹ 4545 per sqft,₹ 46 Lac
Chennai,Tambaram GST Road,Flat,2 BHK,961 sqft,Unfurnish,Old Property,Ready to Move,,₹ 42 Lac
Chennai,Kottivakkam,Flat,2 BHK,780 sqft,Unfurnish,New Property,Ready to Move,,₹ 1.37 Cr
Chennai,Old Mahabalipuram Road,Flat,2 BHK,993 sqft,Furnish,Old Property,Ready to Move,₹ 3525 per sqft,₹ 35 Lac
Chennai,Kotturpuram,Flat,1 BHK,510 sqft,Furnish,Old Property,Ready to Move,,₹ 47 Lac
Chennai,Thirumullaivoyal Rajiv Gandhi Nagar Vanagaram,Flat,3 BHK,1070 sqft,Furnish,Old Property,Ready to Move,₹ 4074 per sqft,₹ 48 Lac
Chennai,Kilpauk,Flat,2 BHK,780 sqft,Unfurnish,Old Property,Ready to Move,,₹ 68 Lac
Chennai,Tambaram East,Flat,2 BHK,775 sqft,Furnish,Old Property,Ready to Move,,₹ 48 Lac
Chennai,Hasthinapuram,Flat,2 BHK,913 sqft,Furnish,Old Property,Ready to Move,,₹ 54.3 Lac
Chennai,Tambaram East,Flat,2 BHK,1260 sqft,Unfurnish,Old Property,Ready to Move,₹ 5476 per sqft,₹ 69 Lac
Chennai,Mogappair,Flat,2 BHK,782 sqft,Furnish,Old Property,Ready to Move,₹ 7320 per sqft,₹ 57.3 Lac
