Location,Area,Type,BHK,Furnish,Transaction,Status,Price_Lac,Area_Sqft,Price/Sqft
Chennai,Padur Old Mahabalipuram Road,Flat,2.0,Unfurnish,New Property,Dec 2021,52.0,750.0,6933.33
Chennai,Karpagam Avenue,Flat,1.0,Furnish,Old Property,Dec 2021,42.0,550.0,7636.36
Chennai,Perumbakkam,Flat,3.0,Furnish,Old Property,Dec 2021,90.0,1704.0,5281.69
Chennai,Oragadam,Flat,3.0,Unfurnish,Old Property,Dec 2021,69.9,1500.0,4660.0
Chennai,Thiruporur,Flat,2.0,Unfurnish,Old Property,Dec 2021,27.0,1150.0,2348.0
Chennai,Mahindra World City,Flat,1.0,Furnish,Old Property,Dec 2021,30.0,595.0,5042.02
Chennai,Mambalam West,Flat,2.0,Unfurnish,Old Property,Dec 2021,135.0,1000.0,13500.0
Chennai,VGN Mahalakshmi Nagar Maduravoyal,Flat,3.0,Furnish,Old Property,Dec 2021,59.0,1096.0,5383.0
Chennai,Seetha Nagar Nungambakkam,Flat,2.0,Furnish,Old Property,Dec 2021,85.0,852.0,9977.0
Chennai,Navalur,Flat,3.0,Furnish,Old Property,Dec 2021,80.0,1567.0,5105.0
Chennai,Irungattukottai,Flat,2.0,Furnish,Old Property,Dec 2021,30.0,824.0,3641.0
Chennai,Tambaram GST Road,Flat,2.0,Furnish,Old Property,Dec 2021,38.7,647.0,5981.45
Chennai,Ram Nagar South Extension Madipakkam,Flat,2.0,Furnish,Old Property,Dec 2021,47.0,750.0,6266.67
Chennai,Kalavakkam,Flat,2.0,Unfurnish,Old Property,Dec 2021,30.0,800.0,3750.0
Chennai,Selaiyur,Flat,2.0,Furnish,Old Property,Dec 2021,46.0,1012.0,4545.0
Chennai,Tambaram GST Road,Flat,2.0,Unfurnish,Old Property,Dec 2021,42.0,961.0,4370.45
Chennai,Kottivakkam,Flat,2.0,Unfurnish,New Property,Dec 2021,137.0,780.0,17564.1
Chennai,Old Mahabalipuram Road,Flat,2.0,Furnish,Old Property,Dec 2021,35.0,993.0,3525.0
Chennai,Kotturpuram,Flat,1.0,Furnish,Old Property,Dec 2021,47.0,510.0,9215.69
Chennai,Thirumullaivoyal Rajiv Gandhi Nagar Vanagaram,Flat,3.0,Furnish,Old Property,Dec 2021,48.0,1070.0,4074.0
Chennai,Kilpauk,Flat,2.0,Unfurnish,Old Property,Dec 2021,68.0,780.0,8717.95
Chennai,Tambaram East,Flat,2.0,Furnish,Old Property,Dec 2021,48.0,775.0,6193.55
Chennai,Hasthinapuram,Flat,2.0,Furnish,Old Property,Dec 2021,54.3,913.0,5947.43
